,Unnamed: 0,old_ID,sys1,sys,sim,gamma_bcc,gamma_fcc,rho_gm3
0,0,0,Al1Sc1Ti1,AlScTi,0.7434,0.9390194875240796,0.8756676108818398,3.359381553986485
1,1,1,Al1Sc1V1,AlScV,0.5067,0.7246552022040476,0.6976660319096119,3.681932454801444
2,2,2,Al1Sc1Cr1,AlScCr,0.7033,0.7100796710332908,0.6926569284797587,3.831092998063314
3,3,3,Al1Sc1Mn1,AlScMn,0.677,0.7554171705810844,0.7345213006898961,3.914745775018588
4,4,4,Al1Sc1Fe1,AlScFe,0.7034,0.6957079417015585,0.6813167201056637,3.9722634456179775
5,5,5,Al1Sc1Co1,AlScCo,0.6472,0.6840655810243536,0.6740775735156294,4.130138245171103
6,6,6,Al1Sc1Ni1,AlScNi,0.6818,0.6832598163246894,0.6737284516862065,4.130423085638094
7,7,7,Al1Sc1Cu1,AlScCu,0.7201,0.7198913301987925,0.7031625331870585,4.211657827640448
8,8,8,Al1Sc1Zn1,AlScZn,0.6967,1.0756471920412838,1.0660199104130872,4.013150844999999
9,9,9,Al1Sc1Y1,AlScY,0.6632,0.8245778529840785,0.7980681593162446,3.579086849812332
10,10,10,Al1Sc1Zr1,AlScZr,0.77,1.0539853859890491,0.9677334856794748,4.17331291211094
11,11,11,Al1Sc1Nb1,AlScNb,0.7207,0.7742337234180067,0.7050151303739793,4.591287899261744
12,12,12,Al1Sc1Mo1,AlScMo,0.698,0.6774323996325405,0.643279953343926,4.881081751243432
13,13,13,Al1Sc1Tc1,AlScTc,0.4086,1.0796748129075782,0.9200917356317864,5.055486881648745
14,14,14,Al1Sc1Ru1,AlScRu,0.555,0.6766290882948701,0.6558674044827831,5.202760289782608
15,15,15,Al1Sc1Rh1,AlScRh,0.5294,0.618321430178845,0.6064296274805576,5.248450235009042
16,16,16,Al1Sc1Pd1,AlScPd,0.5253,0.7054807435060692,0.6749105144553355,5.258852007033747
17,17,17,Al1Sc1Ag1,AlScAg,0.6066,0.9601034241458909,0.9039496055883528,5.084793526337307
18,18,18,Al1Sc1Cd1,AlScCd,0.5633,0.8831462667109303,0.870463564631961,4.842063734113923
19,19,19,Al1Sc1La1,AlScLa,0.6581,0.7961825364188277,0.7720877981583212,4.424769256586599
20,20,20,Al1Sc1Hf1,AlScHf,0.7190000000000001,1.1079085142127365,1.0128158057208057,6.505627042190922
21,21,21,Al1Sc1Ta1,AlScTa,0.6688,0.7305186352637917,0.6622900661014112,7.031652408643215
22,22,22,Al1Sc1W1,AlScW,0.5422,0.6388226124034923,0.6059321169971552,7.384183791234781
23,23,23,Al1Sc1Re1,AlScRe,0.4955,0.6227717360823133,0.6027332357048443,7.611363907566607
26,26,26,Al1Sc1Pt1,AlScPt,0.4982,0.6677055982178225,0.6360681594625059,7.776414175368418
27,27,27,Al1Sc1Au1,AlScAu,0.5423,0.6688877931588121,0.6216719958509169,7.617417620068258
28,28,28,Al1Sc1Hg1,AlScHg,0.4874,0.9638382070510908,0.8783929203663859,6.833769909305136
29,29,29,Al1Ti1V1,AlTiV,0.5874,1.0438872569885211,1.027004785458141,4.350238834916666
30,30,30,Al1Ti1Cr1,AlTiCr,0.7803,0.9878695045019308,0.9895880578454518,4.547777539438443
31,31,31,Al1Ti1Mn1,AlTiMn,0.7479,1.094685763796984,1.054076616946186,4.643226913275861
32,32,32,Al1Ti1Fe1,AlTiFe,0.7864,0.9600722281766776,0.962721028535804,4.716332045130433
33,33,33,Al1Ti1Co1,AlTiCo,0.7394,0.9243426609014984,0.9321042757117972,4.913222959646016
34,34,34,Al1Ti1Ni1,AlTiNi,0.8,0.9213544544120562,0.9299192207963556,4.915290866430154
35,35,35,Al1Ti1Cu1,AlTiCu,0.8161,1.014255955491741,1.0131468230781489,4.994237697304347
36,36,36,Al1Ti1Zn1,AlTiZn,0.7541,1.2904849785672976,1.2399316303519592,4.7121330784615365
37,37,37,Al1Ti1Y1,AlTiY,0.6585,0.9003080828874026,0.8530873292268871,4.045123289821428
38,38,38,Al1Ti1Zr1,AlTiZr,0.8284,0.9677301935750374,0.8757108289909233,4.794441983930433
39,39,39,Al1Ti1Nb1,AlTiNb,0.8141,1.130095533542102,1.0419789626301446,5.334734959310344
40,40,40,Al1Ti1Mo1,AlTiMo,0.7836,0.993935121111192,0.9445985871779562,5.705073925070421
41,41,41,Al1Ti1Tc1,AlTiTc,0.4418,1.5895882673566508,1.330473562029339,5.928276323884297
42,42,42,Al1Ti1Ru1,AlTiRu,0.624,0.9546183551975432,0.9344075837010578,6.109304896987446
43,43,43,Al1Ti1Rh1,AlTiRh,0.6095,0.8612444653313976,0.8466985852179296,6.160160836659706
