,Unnamed: 0,Unnamed: 0.1,sys1,sys,sim,gamma_bcc,gamma_fcc,rho_gm3
0,1971,1971,Al1Sc1Ti1Zn1Zr1Ag1,AlScTiZnZrAg,0.6898,1.0010223223399897,0.8594706649730219,5.55661358881533
1,1974,1974,Al1Sc1Ti1Zn1Zr1Hf1,AlScTiZnZrHf,0.7355,1.013685062350451,0.8374155270236784,6.292761899966666
2,1982,1982,Al1Sc1Ti1Zn1Zr1Hg1,AlScTiZnZrHg,0.6323,1.035946859377075,0.870799318222159,6.474386165134912
3,2107,2107,Al1Sc1Ti1Zn1Hf1Hg1,AlScTiZnHfHg,0.6079,1.0482605577807769,0.8746731892970424,7.722003198647977
4,2346,2346,Al1Sc1Ti1Zr1Tc1Hf1,AlScTiZrTcHf,0.616,1.0273952755852882,0.7939216263622866,6.8006775461848745
5,2394,2394,Al1Sc1Ti1Zr1Ag1Cd1,AlScTiZrAgCd,0.6216,1.0147220172380746,0.9101151627889624,5.9073490098679855
6,2396,2396,Al1Sc1Ti1Zr1Ag1Hf1,AlScTiZrAgHf,0.7054,1.1080412725885749,0.95341287854012,6.773271862149302
7,2431,2431,Al1Sc1Ti1Zr1Hf1Hg1,AlScTiZrHfHg,0.6375,1.0777043521740308,0.8972481534233611,7.570170231808345
8,18026,18026,Al1Sc1Zn1Zr1Ag1Hf1,AlScZnZrAgHf,0.6716,1.0586173178515932,0.8756028003864208,7.152580920468618
9,18036,18036,Al1Sc1Zn1Zr1Cd1Hf1,AlScZnZrCdHf,0.6634,1.1944865073156448,1.07681140070785,6.953826354806451
10,18044,18044,Al1Sc1Zn1Zr1Cd1Hg1,AlScZnZrCdHg,0.6073,1.0298819884708663,0.8670126536463303,7.117660079144891
12,20472,20472,Al1Sc1Zr1Ag1Cd1Hf1,AlScZrAgCdHf,0.6102,1.026554766372189,0.8856710839105851,7.409093566290706
13,23751,23751,Al1Ti1V1Cr1Mn1Fe1,AlTiVCrMnFe,0.6709,1.1781209761016844,1.098644105573173,5.695895895077288
14,23752,23752,Al1Ti1V1Cr1Mn1Co1,AlTiVCrMnCo,0.6549,1.0043927832846626,0.9358535184756176,5.812139837647057
15,23754,23754,Al1Ti1V1Cr1Mn1Cu1,AlTiVCrMnCu,0.6651,1.2064251168725455,1.1338061885195359,5.8479013647562414
16,23755,23755,Al1Ti1V1Cr1Mn1Zn1,AlTiVCrMnZn,0.6573,1.095407984840087,1.0384200432167512,5.655462226011428
17,23758,23758,Al1Ti1V1Cr1Mn1Nb1,AlTiVCrMnNb,0.6625,1.2092039528556222,1.0813729250929591,5.986121102724251
18,23759,23759,Al1Ti1V1Cr1Mn1Mo1,AlTiVCrMnMo,0.664,1.2064154201605146,1.092704959797779,6.214302332300682
19,23764,23764,Al1Ti1V1Cr1Mn1Ag1,AlTiVCrMnAg,0.6067,1.190027213928747,1.127179324340967,6.324198621655479
20,23768,23768,Al1Ti1V1Cr1Mn1Ta1,AlTiVCrMnTa,0.6489,1.1905121167679575,1.03375667216232,7.596190548407078
21,23776,23776,Al1Ti1V1Cr1Fe1Co1,AlTiVCrFeCo,0.6621,1.0955330956646514,1.0344991326652722,5.858344918890228
22,23777,23777,Al1Ti1V1Cr1Fe1Ni1,AlTiVCrFeNi,0.6771,1.08165869792629,1.0220391363142265,5.860612730386471
23,23778,23778,Al1Ti1V1Cr1Fe1Cu1,AlTiVCrFeCu,0.6739,1.2104786173766322,1.1372116466705595,5.893835723727598
24,23779,23779,Al1Ti1V1Cr1Fe1Zn1,AlTiVCrFeZn,0.6612,1.1313742669954296,1.080395734243752,5.698719748289321
25,23782,23782,Al1Ti1V1Cr1Fe1Nb1,AlTiVCrFeNb,0.6678,1.253590715125846,1.1396562213898391,6.029502568142379
26,23783,23783,Al1Ti1V1Cr1Fe1Mo1,AlTiVCrFeMo,0.6714,1.229366967219647,1.1240334012462032,6.259968994004575
27,23788,23788,Al1Ti1V1Cr1Fe1Ag1,AlTiVCrFeAg,0.6175,1.2304902595659468,1.1746408689733474,6.369538225573032
28,23792,23792,Al1Ti1V1Cr1Fe1Ta1,AlTiVCrFeTa,0.6548,1.2367506946997662,1.097109293055353,7.646679676399998
29,23800,23800,Al1Ti1V1Cr1Co1Ni1,AlTiVCrCoNi,0.6696,1.132536657222203,1.075864150681046,5.980306558243901
30,23801,23801,Al1Ti1V1Cr1Co1Cu1,AlTiVCrCoCu,0.6603,1.028877645658443,0.9644815990414688,6.012550708998792
31,23805,23805,Al1Ti1V1Cr1Co1Nb1,AlTiVCrCoNb,0.6542,1.075503399281856,0.9779093490384017,6.141174911066217
32,23806,23806,Al1Ti1V1Cr1Co1Mo1,AlTiVCrCoMo,0.6606,1.047429993479981,0.9554257669391112,6.376994154457273
33,23811,23811,Al1Ti1V1Cr1Co1Ag1,AlTiVCrCoAg,0.605,1.05731017297186,1.0079364943666702,6.4854343058503385
34,23815,23815,Al1Ti1V1Cr1Co1Ta1,AlTiVCrCoTa,0.647,1.061104772254832,0.9424198019121316,7.772730656681611
35,23823,23823,Al1Ti1V1Cr1Ni1Cu1,AlTiVCrNiCu,0.6809999999999999,1.0162069957116728,0.953359559177018,6.015004759371979
36,23827,23827,Al1Ti1V1Cr1Ni1Nb1,AlTiVCrNiNb,0.6723,1.0628232152005976,0.9670692753889488,6.143602526696629
37,23828,23828,Al1Ti1V1Cr1Ni1Mo1,AlTiVCrNiMo,0.6778,1.0345337830378312,0.9441543307462926,6.3797645557919065
38,23830,23830,Al1Ti1V1Cr1Ni1Ru1,AlTiVCrNiRu,0.608,1.0928647620300136,1.0258239579964503,6.6233124595271855
39,23832,23832,Al1Ti1V1Cr1Ni1Pd1,AlTiVCrNiPd,0.6064,1.0060045751724431,0.9393969713122228,6.641928052228703
40,23833,23833,Al1Ti1V1Cr1Ni1Ag1,AlTiVCrNiAg,0.6248,1.0450696605033152,0.9970249657653004,6.488277480998863
41,23837,23837,Al1Ti1V1Cr1Ni1Ta1,AlTiVCrNiTa,0.6616,1.0485463232290937,0.931930596322834,7.776986698945003
44,23845,23845,Al1Ti1V1Cr1Cu1Zn1,AlTiVCrCuZn,0.6665,1.1444531229199983,1.0993317717203204,5.845489667921927
45,23848,23848,Al1Ti1V1Cr1Cu1Nb1,AlTiVCrCuNb,0.6693,1.2661836933176225,1.1500177169925347,6.1717012333259165
46,23849,23849,Al1Ti1V1Cr1Cu1Mo1,AlTiVCrCuMo,0.6715,1.2513951617184669,1.1468957033526024,6.4062351267276885
47,23851,23851,Al1Ti1V1Cr1Cu1Ru1,AlTiVCrCuRu,0.602,1.2162716425384876,1.0894715043911292,6.6478076032280695
48,23853,23853,Al1Ti1V1Cr1Cu1Pd1,AlTiVCrCuPd,0.6016,1.2143430397715245,1.1416910477202122,6.665918592101615
49,23854,23854,Al1Ti1V1Cr1Cu1Ag1,AlTiVCrCuAg,0.6323,1.2452785448378028,1.194886642544051,6.513174854786515
50,23858,23858,Al1Ti1V1Cr1Cu1Ta1,AlTiVCrCuTa,0.6594,1.2470582098105014,1.1014733106073848,7.7887203430666645
53,23868,23868,Al1Ti1V1Cr1Zn1Nb1,AlTiVCrZnNb,0.6526,1.0801709602681917,0.9768447866676776,5.979425304137191
54,23869,23869,Al1Ti1V1Cr1Zn1Mo1,AlTiVCrZnMo,0.6584,1.132057966655169,1.0522518700608898,6.1998831506167384
55,23874,23874,Al1Ti1V1Cr1Zn1Ag1,AlTiVCrZnAg,0.6091,1.053185510990506,1.00677272823562,6.30646106142857
56,23878,23878,Al1Ti1V1Cr1Zn1Ta1,AlTiVCrZnTa,0.642,1.0687959793314912,0.940250880531085,7.537786626081369
57,23923,23923,Al1Ti1V1Cr1Nb1Mo1,AlTiVCrNbMo,0.6779,1.3061770869232765,1.1826000119677589,6.502598086282051
58,23928,23928,Al1Ti1V1Cr1Nb1Ag1,AlTiVCrNbAg,0.6166,1.1862139547126358,1.0903631359252468,6.60095370668067
