AtomicWeight,BoilingPoint,BulkModulus,el_neg,CovalentRadius,CrustAbundance,Density,FusionHeat,MeltingPoint,MolarVolume,NeutronCrossSection,SpecificHeat,ThermalConductivity,Valence,VaporizationHeat,Phase
146.502,3018.4,39.74,1.214,192.8,8.51E-06,7587.6,12.06,1416.2,32.2,10007.7,210.4,13.2,3,305,0
114.814,1874.5,71,1.99,142,1.40E-07,8593.5,15.5,796.205,23.65,34.5,221,227,3,161,1
55.9434,2958.75,53,1.325,175,2.68E-05,3356.75,14.85,1537.25,27,20.72,499.75,16.25,3,333.5,0
141.061,1181.5,34,2.255,132.5,6.05E-06,8533.5,16.235,572.23,26.05,2.1855,227.5,42.5,4.5,105.2,1
48.9624,2708.29,140.286,1.77571,127.571,0.0321983,6748.57,14.7429,1251.47,12.9571,2.70086,568.486,175,3,332.571,1
163.339,4394.6,106.6,1.331,169.6,0.00810297,12249,24.02,2075.73,21.73,93.6233,220,44.2,3.9,596.3,0
100.514,3883.5,235,1.9525,138.75,0.0157575,12541,22.175,2138.25,12.775,33.09,311.25,86.75,5,501.75,0
109.934,2380.5,80,1.39,165.5,0.0005506,8132.5,15.1,1360,21.7,38.65,322,11.85,3.5,242.5,1
141.492,3378.5,78.5,1.37,183,1.39E-05,11017.5,15,1338,22.864,17.385,341.5,21.5,4.5,369,1
117.643,2324.5,73,2.115,128.5,0.135005,6835,27.485,870.73,25.2,0.1685,418.5,92.5,4,268.5,1
117.624,4431,238,2.232,149.2,2.21E-07,13746,27.56,2551.6,14.06,5.76,216.8,130,6,624,0
48.278,2836.54,140.615,1.72846,132.692,0.02944,6373.69,15.7615,1392.84,13.5846,8.27838,559.846,113.615,3.61538,354.385,1
174.01,2299,39.5,1.185,187,1.69E-06,8205.5,14.85,1241,36.65,60,154,27.5,3,287.5,1
168.154,5251.4,286.6,2.285,157.9,0.00810099,17595,32.57,3145.83,15.97,16.5833,209.2,176.5,5.7,749.3,0
