AtomicWeight,BoilingPoint,BulkModulus,el_neg,CovalentRadius,CrustAbundance,Density,FusionHeat,MeltingPoint,MolarVolume,NeutronCrossSection,SpecificHeat,ThermalConductivity,Valence,VaporizationHeat,TM_sim,label
99.77953386,2197.7,97.6,1.898,142.6,0.008100071,9711,11.24,931.634,17.05,57.2633,301.9,410.5,1.2,258.8,0.634434135,1
130.1427923,2335.5,130,2.0825,142.75,6.00E-08,12692.5,11.6,987.38,17.075,72.375,208.525,402.5,2,273.75,0.851948504,1
152.4173845,2509,160,2.235,140.5,4.11E-08,14895,11.9,1012.98,17.05,81.15,182.05,375,3,292.5,0.851948504,1
174.6919768,2682.5,190,2.3875,138.25,2.21E-08,17097.5,12.2,1038.58,17.025,89.925,155.575,347.5,4,311.25,0.851948504,1
108.77676,1883,88.4,1.882,144.8,9.32E-08,10122,10.3,833.638,18,540.88,234,363.2,1.2,224,0.464356417,1
109.45818,1673.75,79.7,1.846,144.65,1.04E-07,9846,9.55,737.5315,18.675,898.84,233.25,313.1,1.35,200.75,0.464356417,1
108.91067,2148.5,91.15,1.9075,144.55,9.12E-08,10013,10.094,841.003,18.45,83.16,234.7,377.8,1.3,251.25,0.345872462,1
87.68276,1998,82.2,1.74,141.6,3.46E-06,8499,9.64,805.532,17.98,65.08,902,361,1,233.4,0.390322404,1
67.49732,1834,64.4,1.55,138.2,6.85E-06,6508,7.98,649.284,18.86,66.56,1569,292,1,211.8,0.390322404,1
99.51188,2054.8,94.5,1.868,144.6,0.002900071,9614.8,11.04,930.602,17.71292359,57.2463,313.5,403,1.1,242.3,0.556328437,1
91.15556,1947.6,89,1.806,144.2,0.005800063,8739.6,10.78,899.424,18.32584718,50.8926,392,376,1.2,229.6,0.556328437,1
102.5751845,2151.9,102,1.892,144.4,0.000110071,10188,11.49,990.202,16.61,58.57,259.4,387.77,1.3,251.5,0.518365559,1
97.282169,2141.8,104,1.854,143.8,0.000220063,9886,11.68,1018.624,16.12,53.54,283.8,345.54,1.6,248,0.518365559,1
107.50615,2362.25,120,1.9975,143.5,6.08E-08,10873.25,12.65,1110.06,16.5,49.425,236.25,340.25,1.75,286.25,0.716087151,1
107.1441,2562.5,140,2.065,142,4.27E-08,11256.5,14,1258.34,15.9,35.25,237.5,250.5,2.5,317.5,0.716087151,1
106.78205,2762.75,160,2.1325,140.5,2.45E-08,11639.75,15.35,1406.62,15.3,21.075,238.75,160.75,3.25,348.75,0.716087151,1
116.58978,2328.3,113,1.965,144.1,7.48E-08,11586,12.17,1042.432,16.93,58.24,224.8,394.1,1.5,278.5,0.695581506,1
125.31136,2494.6,126,2,143.2,7.06E-08,12682,13.04,1123.084,16.76,52.88,214.6,358.2,2,302,0.695581506,1
103.153635,3618.35,366,2.2625,142.15,4.62E-09,12352,21.18,1913.889,13.87,140.93,239.75,164,5.75,483,0.586493828,1
101.49497,1973.75,95.5,1.888,141.55,1.18E-05,9987.5,10.7075,880.4425,16.815,54.225,257.95,383.5,1.15,234.6,0.601790284,1
95.12174,1785.5,91,1.846,138.1,2.35E-05,9485,10.115,799.105,16.53,44.85,280.9,337,1.3,214.2,0.601790284,1
57.33561218,2906.6,174.8,1.8665,125.75,0.0040785,8590,15.925,1453.266,11.28,35.35165,445.15,106.75,3.95,370.9,0.660881206,1
58.06133079,2555.55,130.4,1.8565,130.35,0.0122078,8021,12.74,1020.975,12.52,3.24795,462.34,375.25,2.15,298.95,0.824655132,1
25.97951167,2460.15,72.75,1.5785,121.35,0.07695085,2591.75,10.315,636.331,16.845,3.77135,1037.3,227.5,2.9,285.7,0.539379041,1
26.84771167,2447.55,74.45,1.595,122,0.0784,2651.9,10.6,659.804,16.93146179,0.2245,909.8,231.25,2.95,284.75,0.843443845,1
55.52221386,2873.6,169.6,1.88,123.7,0.008181,8287.2,16.55,1375.532,11.47,4.0733,490.9,105.4,2.1,369.5,0.764401171,1
98.47615386,2918.6,169.6,2.141,137.2,0.008100006,11090.7,16.1,1465.442,14.89,6.2333,306.4,87.4,3.9,371.3,0.478404576,1
181.6358031,3720.52,217.68,2.2264,134.8,0.006480034,19950,19.256,1679.6616,15.496,9.21864,194.68,84.12,5.76,474.24,0.458858143,1
30.82138474,2357.8,75.4,1.614,121.1,0.0729078,3144,10.365,636.241,16.46,0.3197,852.4,223.5,2.9,275.6,0.743712228,1
34.66123088,2196.6,74.8,1.618,121.2,0.0648156,3588,10.03,612.162,16.32,0.4064,800.8,212,2.8,258.2,0.743712228,1
182.4695221,2837.5,214,2.452,136.3,1.40E-05,18089,13.3,1148.462,16.51,89.14,160.99,297.4,5.1,330.9,0.476177575,1
167.9724752,2819,208,2.364,136.6,2.80E-05,16878,14.1,1232.744,16.02,79.58,192.88,274.8,5.2,331.8,0.476177575,1
163.6114268,2782.5,200,2.38,135,1.70E-05,16715,12.65,1069.29,15.7,74.97,192.925,340,4.25,322.5,0.692684351,1
130.2562845,2709,180,2.22,134,3.40E-05,14130,12.8,1074.4,14.4,51.24,256.75,360,3.5,315,0.692684351,1
96.90114225,2635.5,160,2.06,133,5.10E-05,11545,12.95,1079.51,13.1,27.51,320.575,380,2.75,307.5,0.692684351,1
175.7983337,2856.75,212.5,2.4335,135.4,0.009450003,17586.1,12.695,1135.253,16.22,84.279,177.085,283.85,4.7,332.55,0.541781689,1
154.6300983,2857.5,205,2.327,134.8,0.018900002,15872.2,12.89,1206.326,15.44,69.858,225.07,247.7,4.4,335.1,0.541781689,1
168.4627337,2628.9,188.65,2.306,134.8,2.55E-06,16485.25,11.075,931.634,17.675,94.545,645.235,284.75,4.4,302.55,0.327467293,1
182.7637166,2776.5,210,2.441,136.3,0.000110003,18117,12.57,1082.362,16.52,90.16,164.09,288.77,4.9,319,0.459180816,1
